USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
abhinavsuri       2457   2.2  0.3 469227104  23008   ??  S    11:36PM   0:00.45 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper.app/Contents/MacOS/Antigravity IDE Helper --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en-GB --service-sandbox-type=audio --message-loop-type-ui --user-data-dir=/Users/abhinavsuri/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,8980756497384775943,5097072793149543955,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708990997080739 --seatbelt-client=83
root               404   2.2  0.2 435410016  17600   ??  Ss   11:17PM   0:15.09 /usr/sbin/bluetoothd
abhinavsuri        718   1.9  0.3 440664288  25728   ??  S    11:17PM   0:46.82 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
_mdnsresponder     498   1.9  0.2 435389088  12864   ??  Ss   11:17PM   0:47.31 /usr/sbin/mDNSResponder
abhinavsuri        919   1.6  1.1 1955353072  90336   ??  S    11:17PM   0:37.66 /Applications/Notion.app/Contents/Frameworks/Notion Helper (Renderer).app/Contents/MacOS/Notion Helper (Renderer) --type=renderer --user-data-dir=/Users/abhinavsuri/Library/Application Support/Notion --app-path=/Applications/Notion.app/Contents/Resources/app.asar --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=5 --time-ticks-at-unix-epoch=-1788544023280234 --launch-time-ticks=53974002 --shared-files --field-trial-handle=1718379636,r,6611293277580793386,2224074771638062598,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,MacCatapLoopbackAudioForScreenShare,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,16419770909980296993,190578566122567937,4 --trace-process-track-uuid=3190708990997080739 --seatbelt-client=70
root               419   1.6  0.1 435356368  11984   ??  Ss   11:17PM   0:23.59 /usr/libexec/runningboardd
abhinavsuri        636   1.5  2.4 436451344 197328   ??  S    11:17PM   1:30.51 /Applications/WhatsApp.app/Contents/MacOS/WhatsApp
root               414   1.4  0.1 435306832   4208   ??  Ss   11:17PM   0:07.50 /usr/sbin/cfprefsd daemon
abhinavsuri        677   1.3  0.8 486664336  65520   ??  S    11:17PM   1:10.59 /Applications/Spotify.app/Contents/MacOS/Spotify
abhinavsuri        942   1.2  0.6 486152816  52512   ??  S    11:17PM   1:03.18 /Users/abhinavsuri/Desktop/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.82/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=network --metrics-client-id=1e758e4b-16ab-404e-82a6-aef5a00e49ae --shared-files --metrics-shmem-handle=1752395122,r,5571270654931291518,15386060365927260114,524288 --field-trial-handle=1718379636,r,14772465451866465263,3720238596139465959,262144 --variations-seed-version=20260903-090042.078000-production --pseudonymization-salt-handle=1935764596,r,16596995124294160830,11069550394775123762,4 --trace-process-track-uuid=3190708989122997041 --seatbelt-client=16
abhinavsuri        914   1.0  0.3 486053616  21568   ??  S    11:17PM   0:17.92 /Applications/Notion.app/Contents/Frameworks/Notion Helper.app/Contents/MacOS/Notion Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=network --user-data-dir=/Users/abhinavsuri/Library/Application Support/Notion --shared-files --field-trial-handle=1718379636,r,6611293277580793386,2224074771638062598,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,MacCatapLoopbackAudioForScreenShare,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,16419770909980296993,190578566122567937,4 --trace-process-track-uuid=3190708989122997041 --seatbelt-client=30
abhinavsuri        635   1.0  0.2 435801488  18672   ??  S    11:17PM   0:13.44 /usr/libexec/sharingd
root               739   1.0  0.1 435343440   5920   ??  Ss   11:17PM   0:00.46 /usr/libexec/rtcreportingd
abhinavsuri        796   0.9  0.2 435415472  15424   ??  S    11:17PM   0:07.16 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
root               339   0.9  0.1 435456208  11408   ??  Ss   11:17PM   0:17.11 /usr/libexec/logd
_nearbyd           740   0.6  0.1 435355520   6208   ??  Ss   11:17PM   0:03.40 /usr/libexec/nearbyd
abhinavsuri        611   0.6  0.1 435362496  10576   ??  S    11:17PM   0:05.22 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
abhinavsuri       2442   0.5  0.4 469262096  29600   ??  S    11:36PM   0:02.56 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper.app/Contents/MacOS/Antigravity IDE Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=network --user-data-dir=/Users/abhinavsuri/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,8980756497384775943,5097072793149543955,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708989122997041 --seatbelt-client=33
abhinavsuri        600   0.5  0.2 435373456  16176   ??  S    11:17PM   0:14.08 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
abhinavsuri        643   0.5  0.2 435439824  19152   ??  S    11:17PM   0:14.72 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
root               341   0.5  0.1 435349856   5792   ??  Ss   11:17PM   0:01.83 /usr/libexec/UserEventAgent (System)
root               440   0.4  0.1 435340688   6000   ??  Ss   11:17PM   0:00.40 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
_networkd          508   0.4  0.1 435358592   8000   ??  Ss   11:17PM   0:08.39 /usr/libexec/symptomsd
abhinavsuri        645   0.3  1.3 537115952 107664   ??  S    11:17PM   2:21.29 /Users/abhinavsuri/Desktop/Google Chrome.app/Contents/MacOS/Google Chrome
abhinavsuri        625   0.3  0.1 435344816   7696   ??  S    11:17PM   0:14.29 /usr/libexec/trustd --agent
abhinavsuri       2459   0.3  0.5 1892231968  39200   ??  S    11:36PM   0:02.41 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper.app/Contents/MacOS/Antigravity IDE Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/abhinavsuri/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,8980756497384775943,5097072793149543955,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708992871164437
root               409   0.3  0.1 435380864   6960   ??  Ss   11:17PM   0:01.46 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
root              3088   0.3  0.1 435354416   8560   ??  S    11:54PM   0:00.17 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
root               353   0.3  0.1 435342336   5792   ??  Ss   11:17PM   0:04.03 /System/Library/CoreServices/powerd.bundle/powerd
root               374   0.2  0.2 435369632  13152   ??  Ss   11:17PM   0:06.27 /usr/libexec/coreduetd
root               405   0.2  0.0 435305696   3200   ??  Ss   11:17PM   0:06.15 /usr/sbin/notifyd
root               343   0.2  0.0 435318144   4160   ??  Ss   11:17PM   1:09.75 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
abhinavsuri        665   0.2  0.6 486909120  46464   ??  S    11:17PM   0:26.14 /Applications/Arc.app/Contents/MacOS/Arc
abhinavsuri        678   0.2  0.4 486594240  35984   ??  S    11:17PM   0:28.30 /Applications/Comet.app/Contents/MacOS/Comet
root              2701   0.2  0.0 435306592   2416   ??  Ss   11:40PM   0:00.07 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
root               449   0.1  0.1 435363744  12464   ??  Ss   11:17PM   0:43.68 /usr/libexec/airportd
abhinavsuri        895   0.1  0.4 486043280  30432   ??  S    11:17PM   0:08.70 /Applications/Notion Calendar.app/Contents/Frameworks/Notion Calendar Helper.app/Contents/MacOS/Notion Calendar Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=network --user-data-dir=/Users/abhinavsuri/Library/Application Support/Notion Calendar --shared-files --field-trial-handle=1718379636,r,5107390875587069164,5198617035562054307,262144 --enable-features=PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,7450477029773541207,11726322477684610328,4 --trace-process-track-uuid=3190708989122997041 --seatbelt-client=31
root               729   0.1  0.1 435354112   8352   ??  Ss   11:17PM   0:03.55 /usr/libexec/gamepolicyd
abhinavsuri        676   0.1  0.4 440380704  37088   ??  S    11:17PM   0:23.66 /System/Applications/Mail.app/Contents/MacOS/Mail
root               375   0.1  0.0 435306896   1808   ??  Ss   11:17PM   0:00.57 /usr/sbin/syslogd
abhinavsuri       2491   0.1  0.3 1892224816  26272   ??  S    11:36PM   0:02.41 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper.app/Contents/MacOS/Antigravity IDE Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/abhinavsuri/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,8980756497384775943,5097072793149543955,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708996619331833
abhinavsuri       2881   0.1  0.4 437539728  29568   ??  S    11:52PM   0:05.03 /Applications/Antigravity IDE.app/Contents/Resources/app/extensions/antigravity/bin/language_server_macos_arm --enable_lsp --csrf_token 449e92fc-0463-4309-8ffe-5a265687d759 --extension_server_port 51091 --extension_server_csrf_token 0c122fa1-3239-4ea2-93e1-fd2ce1730a98 --workspace_id file_Users_abhinavsuri_Desktop_DevOps_Coursework --cloud_code_endpoint https://daily-cloudcode-pa.googleapis.com --subclient_type ide --app_data_dir antigravity-ide --parent_pipe_path /var/folders/z_/s60d_kvn64n11s14hmsm_szw0000gn/T/server_f4840c190cadea3c
abhinavsuri        618   0.1  0.1 435437648   9920   ??  S    11:17PM   0:06.82 /usr/libexec/rapportd
_mysql             547   0.1  0.1 435875120   4336   ??  Ss   11:17PM   0:08.58 /usr/local/mysql/bin/mysqld --user=_mysql --basedir=/usr/local/mysql --datadir=/usr/local/mysql/data --plugin-dir=/usr/local/mysql/lib/plugin --log-error=/usr/local/mysql/data/mysqld.local.err --pid-file=/usr/local/mysql/data/mysqld.local.pid
abhinavsuri        680   0.1  0.5 1890959984  41920   ??  S    11:17PM   0:12.61 /Applications/Notion Calendar.app/Contents/MacOS/Notion Calendar
abhinavsuri       1003   0.1  0.8 1896422048  68128   ??  S    11:18PM   0:22.49 /Applications/Notion Calendar.app/Contents/Frameworks/Notion Calendar Helper (Renderer).app/Contents/MacOS/Notion Calendar Helper (Renderer) --type=renderer --user-data-dir=/Users/abhinavsuri/Library/Application Support/Notion Calendar --app-path=/Applications/Notion Calendar.app/Contents/Resources/app.asar --enable-sandbox --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=4 --time-ticks-at-unix-epoch=-1788544023279864 --launch-time-ticks=60396069 --shared-files --field-trial-handle=1718379636,r,5107390875587069164,5198617035562054307,262144 --enable-features=PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,7450477029773541207,11726322477684610328,4 --trace-process-track-uuid=3190708990060038890 --seatbelt-client=59
_distnote          394   0.1  0.0 435305712   2592   ??  Ss   11:17PM   0:01.07 /usr/sbin/distnoted daemon
abhinavsuri        690   0.1  0.5 435859184  40528   ??  S    11:17PM   0:21.13 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
abhinavsuri        648   0.1  0.1 440043936   9728   ??  S    11:17PM   0:05.63 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/MacOS/Safari
abhinavsuri        649   0.1  0.4 1892580352  37520   ??  S    11:17PM   0:16.62 /Applications/Visual Studio Code.app/Contents/MacOS/Code
_audiomxd          497   0.1  0.1 435343536   6176   ??  Ss   11:17PM   0:00.38 /usr/libexec/audiomxd
root               380   0.1  0.1 435346960   8544   ??  Ss   11:17PM   0:10.32 /usr/libexec/opendirectoryd
abhinavsuri       2709   0.0  0.0 435370288   3920   ??  Ss   11:40PM   0:00.05 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
abhinavsuri       2707   0.0  0.1 435423984   6080   ??  Ss   11:40PM   0:00.18 /System/Library/PrivateFrameworks/MacinTalk.framework/PlugIns/MacinTalkAUSP.appex/Contents/MacOS/MacinTalkAUSP -AppleLanguages ("en-IN")
abhinavsuri       2705   0.0  0.0 435370656   3920   ??  Ss   11:40PM   0:00.07 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
abhinavsuri       2704   0.0  0.1 435342224   4416   ??  S    11:40PM   0:02.94 /System/Library/PrivateFrameworks/AXAssetLoader.framework/Support/axassetsd
abhinavsuri       2702   0.0  0.1 435352000   5264   ??  Ss   11:40PM   0:00.73 /System/Library/PrivateFrameworks/AppPredictionFoundation.framework/Versions/A/XPCServices/AppPredictionIntentsHelperService.xpc/Contents/MacOS/AppPredictionIntentsHelperService
abhinavsuri       2696   0.0  0.0 435302064   2512   ??  S    11:40PM   0:00.06 /System/Library/CoreServices/ReportCrash agent
abhinavsuri       2695   0.0  0.1 435353280   6080   ??  Ss   11:40PM   0:00.08 /Applications/Microsoft PowerPoint.app/Contents/PlugIns/PowerPointWidget_mac.appex/Contents/MacOS/PowerPointWidget_mac -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MSwic2VydmljZU5hbWUiOiJjb20ubWljcm9zb2Z0LlBvd2VycG9pbnQud2lkZ2V0ZXh0ZW5zaW9uIn0=
abhinavsuri       2694   0.0  0.0 435340496   3552   ??  Ss   11:40PM   0:00.07 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
abhinavsuri       2693   0.0  0.0 435340816   3072   ??  S    11:40PM   0:00.09 /System/Library/PrivateFrameworks/IntlPreferences.framework/Support/localizationswitcherd
abhinavsuri       2688   0.0  0.0 435340960   2704   ??  S    11:40PM   0:04.49 /usr/libexec/MTLAssetUpgraderD
abhinavsuri       2692   0.0  0.0 435339776   2992   ??  Ss   11:40PM   0:00.11 /System/Library/PrivateFrameworks/CascadeSets.framework/Versions/A/XPCServices/SetStoreUpdateService.xpc/Contents/MacOS/SetStoreUpdateService
abhinavsuri       2691   0.0  0.1 435341968   4608   ??  S    11:40PM   0:02.16 /usr/libexec/siriknowledged
abhinavsuri       2689   0.0  0.0 435309936   2592   ??  S    11:40PM   0:00.08 /System/Library/Frameworks/MediaExtension.framework/Versions/A/Helpers/MENotificationAgent
abhinavsuri       2690   0.0  0.1 435358288   5520   ??  S    11:40PM   0:00.35 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Support/BackgroundTaskManagementAgent.app/Contents/MacOS/BackgroundTaskManagementAgent
_neuralengine     2686   0.0  0.0 435339696   2240   ??  Ss   11:40PM   0:00.10 /usr/libexec/aneuserd
abhinavsuri       2685   0.0  0.0 435432176   2288   ??  Ss   11:40PM   0:01.37 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
root              2684   0.0  0.0 435306176   2448   ??  Ss   11:40PM   0:00.05 /System/Library/PrivateFrameworks/PowerLog.framework/Versions/A/XPCServices/PerfPowerTelemetryClientRegistrationService.xpc/Contents/MacOS/PerfPowerTelemetryClientRegistrationService
abhinavsuri       2677   0.0  0.0 435305216   2784   ??  Ss   11:40PM   0:00.09 /System/Library/Frameworks/CoreGraphics.framework/Versions/A/XPCServices/CGPDFService.xpc/Contents/MacOS/CGPDFService
abhinavsuri       2676   0.0  0.0 435366624   1456   ??  Ss   11:40PM   0:00.02 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
abhinavsuri       2675   0.0  0.1 435877792   9568   ??  S    11:40PM   0:00.89 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
abhinavsuri       2674   0.0  0.1 435303776   5312   ??  Ss   11:40PM   0:00.10 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
abhinavsuri       2673   0.0  0.2 435616624  15248   ??  Ss   11:40PM   0:03.23 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
root              2672   0.0  0.0 435339856   2912   ??  Ss   11:40PM   0:00.08 /usr/libexec/powerexperienced
abhinavsuri       2671   0.0  0.0 435359264   3872   ??  S    11:40PM   0:00.14 /System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/com.apple.Safari.SafeBrowsing.Service
abhinavsuri       2670   0.0  0.0 435366512   1424   ??  Ss   11:40PM   0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
root              2665   0.0  0.0 435340592   3568   ??  Ss   11:39PM   0:00.32 /usr/libexec/triald_system
root              2652   0.0  0.0 435305872   1424   ??  Ss   11:39PM   0:00.04 /usr/libexec/online-auth-agent
abhinavsuri       2651   0.0  0.0 435306064   3840   ??  S    11:39PM   0:00.15 /System/Library/PrivateFrameworks/SocialLayer.framework/sociallayerd.app/Contents/MacOS/sociallayerd
abhinavsuri       2650   0.0  0.0 435506368   3824   ??  S    11:39PM   0:00.58 /System/Cryptexes/App/usr/libexec/SafariBookmarksSyncAgent
abhinavsuri       2635   0.0  0.0 435306816   3152   ??  S    11:39PM   0:00.21 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
abhinavsuri       2634   0.0  0.0 435340320   3184   ??  S    11:39PM   0:00.28 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsagent
